idx,word,occurrences
1169,upgraded,18
1170,gotten,18
1171,refused,18
1172,view,18
1173,notified,18
1174,leaves,18
1175,With,18
1176,prices,18
1177,turned,18
1178,expensive,17
1179,Time,17
1180,music,17
1181,text,17
1182,midnight,17
1183,welcome,17
1184,purchased,17
1185,definitely,17
1186,expired,17
1187,LUV,17
1188,apologies,17
1189,Youve,17
1190,headed,17
1191,watching,17
1192,coffee,17
1193,hes,17
1194,wondering,17
1195,resolution,17
1196,slow,17
1197,continue,17
1198,accommodate,17
1199,total,17
1200,outside,17
1201,ahead,17
1202,attempt,17
1203,honor,17
1204,ways,17
1205,turn,17
1206,previous,17
1207,BS,17
1208,consider,17
1209,Plane,17
1210,major,17
1211,inside,17
1212,wasted,17
1213,exactly,17
1214,sell,17
1215,speaking,17
1216,gold,17
1217,freezing,17
1218,till,17
1219,visit,17
1220,funny,17
1221,bus,17
1222,level,17
1223,Over,17
1224,except,17
1225,cheap,17
1226,Kudos,17
1227,fair,17
1228,Hello,17
1229,children,17
1230,CS,17
1231,PM,17
1232,exit,17
1233,clearly,17
1234,patient,17
1235,haha,17
1236,appease,17
1237,dividend,17
1238,America,16
1239,program,16
1240,worry,16
1241,plz,16
1242,Oscars,16
1243,lax,16
1244,game,16
1245,enter,16
1246,E,16
1247,premium,16
1248,across,16
1249,damaged,16
1250,alone,16
1251,met,16
1252,item,16
1253,DMd,16
1254,faster,16
1255,PDX,16
1256,based,16
1257,event,16
1258,treatment,16
1259,sold,16
1260,promised,16
1261,lovely,16
1262,couple,16
1263,avail,16
1264,solution,16
1265,T,16
1266,Nothing,16
1267,starting,16
1268,carryon,16
1269,St,16
1270,suppose,16
1271,Platinum,16
1272,h,16
1273,rules,16
1274,training,16
1275,dept,16
1276,emergency,16
1277,train,16
1278,impossible,16
1279,numbers,16
1280,remember,16
1281,within,16
1282,diff,16
1283,lie,16
1284,quickly,16
1285,ta,16
1286,fit,16
1287,Big,16
1288,Stop,16
1289,screw,16
1290,fill,16
1291,FA,16
1292,policies,16
1293,More,16
1294,Tampa,16
1295,fast,16
1296,tweets,16
1297,SO,16
1298,handled,16
1299,safely,16
1300,Hoping,16
1301,conditions,16
1302,amount,16
1303,rate,16
1304,eventually,16
1305,crews,16
1306,type,16
1307,straight,16
1308,NC,16
1309,dfw,16
1310,systems,16
1311,FL,16
1312,Columbus,16
1313,battles,16
1314,Already,15
1315,eat,15
1316,Hawaii,15
1317,adding,15
1318,Yeah,15
1319,deals,15
1320,Lots,15
1321,cities,15
1322,infant,15
1323,Baggage,15
1324,Seems,15
1325,become,15
1326,accept,15
1327,additional,15
1328,Couldnt,15
1329,Yall,15
1330,serious,15
1331,auto,15
1332,intl,15
1333,coach,15
1334,funds,15
1335,Agent,15
1336,courtesy,15
1337,loaded,15
1338,clue,15
1339,shot,15
1340,overbooked,15
1341,avoid,15
1342,Florida,15
1343,woman,15
1344,redeem,15
1345,issued,15
1346,From,15
1347,fan,15
1348,IS,15
1349,pleasant,15
1350,patience,15
1351,possibly,15
1352,enjoy,15
1353,hire,15
1354,ruining,15
1355,known,15
1356,traffic,15
1357,reLate,15
1358,forever,15
1359,Some,15
1360,HOURS,15
1361,PBI,15
1362,words,15
1363,ended,15
1364,fantastic,15
1365,somewhere,15
1366,Journal,15
1367,clt,15
1368,aa,15
1369,MIA,14
1370,cross,14
1371,messed,14
1372,red,14
1373,EVER,14
1374,feet,14
1375,dog,14
1376,advise,14
1377,Logan,14
1378,April,14
1379,Gold,14
1380,finding,14
1381,school,14
1382,iPad,14
1383,Passbook,14
1384,Like,14
1385,luv,14
1386,trust,14
1387,improve,14
1388,hot,14
1389,drinks,14
1390,wan,14
1391,Sent,14
1392,bday,14
1393,stewardess,14
1394,BEST,14
1395,Wow,14
1396,low,14
1397,FYI,14
1398,items,14
1399,lots,14
1400,perfect,14
1401,advance,14
1402,driving,14
1403,filled,14
1404,badcustomerservice,14
1405,DMed,14
1406,announcement,14
1407,MileagePlus,14
1408,break,14
1409,delta,14
1410,pathetic,14
1411,characters,14
1412,Awful,14
1413,ontime,14
1414,Sure,14
1415,promise,14
1416,Way,14
1417,Lost,14
1418,Doesnt,14
1419,yo,14
1420,deserves,14
1421,incompetence,14
1422,disaster,14
1423,Ridiculous,14
1424,DIA,14
1425,contacting,14
1426,photo,14
1427,example,14
1428,About,14
1429,play,14
1430,blame,14
1431,prompt,14
1432,Apparently,14
1433,Has,14
1434,jetway,14
1435,Almost,14
1436,AGAIN,14
1437,surprise,14
1438,chances,14
1439,none,14
1440,act,14
1441,honest,14
1442,incompetent,14
1443,near,14
1444,five,14
1445,automatically,14
1446,btw,14
1447,Juan,14
1448,handling,14
1449,lies,14
1450,wasting,14
1451,corporate,14
1452,legroom,14
1453,Las,14
1454,wedding,14
1455,Wednesday,14
1456,dca,14
1457,IT,14
1458,bringing,14
1459,simply,14
1460,philly,14
1461,RR,14
1462,professional,14
1463,nearly,13
1464,Called,13
1465,posted,13
1466,Done,13
1467,DAL,13
1468,Sat,13
1469,asap,13
1470,disappointing,13
1471,Thursday,13
1472,concerned,13
1473,afford,13
1474,hand,13
1475,sooner,13
1476,Always,13
1477,YOUR,13
1478,Same,13
1479,Texas,13
1480,USA,13
1481,advantage,13
1482,fight,13
1483,contacted,13
1484,screen,13
1485,loved,13
1486,promo,13
1487,returned,13
1488,ball,13
1489,spending,13
1490,announced,13
1491,crap,13
1492,tv,13
1493,passbook,13
1494,OMG,13
1495,save,13
1496,alternate,13
1497,economy,13
1498,preferred,13
1499,third,13
1500,bird,13
1501,simple,13
1502,Fingers,13
1503,wonder,13
1504,conf,13
1505,Washington,13
1506,nobody,13
1507,Poor,13
1508,absurd,13
1509,carousel,13
1510,stopped,13
1511,Made,13
1512,delaying,13
1513,experiences,13
1514,showed,13
1515,OHare,13
1516,frm,13
1517,floor,13
1518,directly,13
1519,til,13
1520,head,13
1521,management,13
1522,complain,13
1523,public,13
1524,assigned,13
1525,originally,13
1526,London,13
1527,Flightation,13
1528,Lol,13
1529,msg,13
1530,double,13
1531,write,13
1532,Make,13
1533,aware,13
1534,officially,13
1535,surprised,13
1536,annoying,13
1537,crappy,13
1538,quality,13
1539,PR,13
1540,fuck,13
1541,cab,13
1542,realize,13
1543,disgusting,13
1544,prior,13
1545,often,13
1546,sleeping,13
1547,reroute,13
1548,departs,13
1549,clean,13
1550,print,13
1551,allowing,13
1552,apply,13
1553,SLC,13
1554,plenty,13
1555,especially,13
1556,OK,13
1557,snacks,13
1558,mad,13
1559,Sitting,13
1560,Wish,13
1561,informed,13
1562,apologize,13
1563,feature,13
1564,JB,13
1565,VX,12
1566,death,12
1567,side,12
1568,Website,12
1569,February,12
1570,song,12
1571,Congrats,12
1572,Airline,12
1573,biz,12
1574,recent,12
1575,SF,12
1576,fuel,12
1577,oscars,12
1578,track,12
1579,normal,12
1580,begin,12
1581,Because,12
1582,picture,12
1583,rescheduling,12
1584,todays,12
1585,Palm,12
1586,Class,12
1587,errors,12
1588,sfo,12
1589,Guess,12
1590,Missing,12
1591,York,12
1592,raise,12
1593,sharing,12
1594,pull,12
1595,mechanics,12
1596,truly,12
1597,military,12
1598,Again,12
1599,minor,12
1600,cheaper,12
1601,difficult,12
1602,seeing,12
1603,kudos,12
1604,properly,12
1605,dead,12
1606,responded,12
1607,Phone,12
1608,Flightations,12
1609,outlets,12
1610,exact,12
1611,easier,12
1612,Premier,12
1613,SEA,12
1614,killing,12
1615,Nope,12
1616,CC,12
1617,whose,12
1618,Huge,12
1619,manager,12
1620,reimbursed,12
1621,wet,12
1622,Unfortunately,12
1623,brother,12
1624,hearing,12
1625,watched,12
1626,respect,12
1627,higher,12
1628,providing,12
1629,obviously,12
1630,Once,12
1631,Told,12
1632,passed,12
1633,feeling,12
1634,guarantee,12
1635,roundtrip,12
1636,rest,12
1637,six,12
1638,hello,12
1639,usual,12
1640,push,12
1641,wheelchair,12
1642,listed,12
1643,Plus,12
1644,res,12
1645,specific,12
1646,FLT,12
1647,suggestions,12
1648,located,12
1649,Lauderdale,12
1650,Theyre,12
1651,figured,12
1652,Anything,12
1653,MDW,12
1654,contest,12
1655,TrueBlue,12
1656,JBLU,12
1657,locator,12
1658,opportunity,11
1659,NOW,11
1660,skies,11
1661,brand,11
1662,internet,11
1663,applied,11
1664,hands,11
1665,marketing,11
1666,Let,11
1667,step,11
1668,beautiful,11
1669,outstanding,11
1670,Dulles,11
1671,queue,11
1672,lame,11
1673,face,11
1674,smh,11
1675,fl,11
1676,SAN,11
1677,Paris,11
1678,messages,11
1679,Left,11
1680,Someone,11
1681,moment,11
1682,laptop,11
1683,tough,11
1684,mail,11
1685,timely,11
1686,wants,11
1687,pre,11
1688,unavailable,11
1689,incredibly,11
1690,SNA,11
1691,fails,11
1692,Super,11
1693,airfare,11
1694,yep,11
1695,California,11
1696,transferred,11
1697,inbound,11
1698,hotels,11
1699,FAIL,11
1700,Most,11
1701,unprofessional,11
1702,reimbursement,11
1703,hundreds,11
1704,computers,11
1705,looked,11
1706,Today,11
1707,discuss,11
1708,costs,11
1709,Check,11
1710,states,11
1711,JH,11
1712,frustration,11
1713,effort,11
1714,certainly,11
1715,rows,11
1716,Bag,11
1717,boards,11
1718,YYZ,11
1719,ticketed,11
1720,stand,11
1721,rerouted,11
1722,honeymoon,11
1723,certain,11
1724,main,11
1725,house,11
1726,Fail,11
1727,frozen,11
1728,Ever,11
1729,earn,11
1730,connected,11
1731,retrieve,11
1732,taxi,11
1733,PIT,11
1734,travels,11
1735,knowing,11
1736,c,11
1737,log,11
1738,heading,11
1739,expecting,11
1740,shuttle,11
1741,FAA,11
1742,dad,11
1743,credits,11
1744,causing,11
1745,piece,11
1746,vegas,11
1747,deplane,11
1748,discount,11
1749,meant,11
1750,weight,11
1751,loyalty,11
1752,Tell,11
1753,Miles,11
1754,South,11
1755,carrier,11
1756,planning,11
1757,interview,11
1758,unbelievable,11
1759,nothappy,11
1760,An,11
1761,cell,11
1762,Update,11
1763,nasty,11
1764,Rude,11
1765,August,11
1766,Go,11
1767,gear,11
1768,Me,11
1769,Cmon,11
1770,Buffalo,11
1771,SJU,11
1772,Jetblue,11
1773,Dividend,11
1774,among,10
1775,large,10
1776,carriers,10
1777,waive,10
1778,dirty,10
1779,meet,10
1780,bin,10
1781,Three,10
1782,tech,10
1783,precheck,10
1784,imagine,10
1785,Business,10
1786,CMH,10
1787,Springs,10
1788,LOVE,10
1789,somehow,10
1790,continues,10
1791,sweet,10
1792,Instead,10
1793,position,10
1794,Might,10
1795,brought,10
1796,Call,10
1797,Many,10
1798,earned,10
1799,Cheers,10
1800,payment,10
1801,method,10
1802,Happy,10
1803,model,10
1804,Portland,10
1805,ALL,10
1806,iOS,10
1807,commercial,10
